ID	logFC	Gene.symbol	Gene.title
201212_at	0.48901105	LGMN	legumain
219624_at	0.43215574	BAG4	BCL2 associated athanogene 4
204890_s_at	0.46089375	LCK	LCK proto-oncogene, Src family tyrosine kinase
203355_s_at	-0.76640223	PSD3	pleckstrin and Sec7 domain containing 3
211390_at	0.35073535	N4BP2L1	NEDD4 binding protein 2 like 1
216187_x_at	-0.46582395		
200979_at	0.4206827	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1
81811_at	-0.31971682		
207216_at	0.54309329	TNFSF8	tumor necrosis factor superfamily member 8
217167_x_at	0.39226265	GK	glycerol kinase
221414_s_at	0.43508733	DEFB126	defensin beta 126
221478_at	0.60913464	BNIP3L	BCL2 interacting protein 3 like
204257_at	0.32539716	FADS3	fatty acid desaturase 3
214300_s_at	0.35248964	TOP3A	topoisomerase (DNA) III alpha
216060_s_at	0.35375345	DAAM1	dishevelled associated activator of morphogenesis 1
204787_at	0.4098327	VSIG4	V-set and immunoglobulin domain containing 4
217376_at	0.33997214	LOC100289473	cytoskeleton associated protein 2-like pseudogene
221202_at	0.4153289		
217886_at	0.61866717	EPS15	epidermal growth factor receptor pathway substrate 15
206310_at	0.63731319	SPINK2	serine peptidase inhibitor, Kazal type 2
204068_at	-0.76152843	STK3	serine/threonine kinase 3
213506_at	-0.64019119	F2RL1	F2R like trypsin receptor 1
206844_at	0.37826537	FBP2	fructose-bisphosphatase 2
202672_s_at	0.45597802	ATF3	activating transcription factor 3
209714_s_at	-0.4179055	CDKN3	cyclin dependent kinase inhibitor 3
221509_at	-0.34984801	DENR	density regulated re-initiation and release factor
221183_at	0.36001956	LOC100507388	uncharacterized LOC100507388
204147_s_at	0.64583581	TFDP1	transcription factor Dp-1
218272_at	0.32682473	TTC38	tetratricopeptide repeat domain 38
218648_at	0.2831318	CRTC3	CREB regulated transcription coactivator 3
221751_at	-0.40562896	PANK3	pantothenate kinase 3
201694_s_at	0.30773211	EGR1	early growth response 1
216128_at	0.59393029	LOC101929597///TBCD	uncharacterized LOC101929597///tubulin folding cofactor D
204135_at	0.36124225	FILIP1L	filamin A interacting protein 1 like
215171_s_at	-0.42585414	TIMM17A	translocase of inner mitochondrial membrane 17 homolog A (yeast)
210093_s_at	-0.4067178	MAGOHB///MAGOH	mago homolog B, exon junction complex core component///mago homolog, exon junction complex core component
206097_at	0.47573786	SLC22A18AS	solute carrier family 22 member 18 antisense
203784_s_at	0.56764102	DDX28	DEAD-box helicase 28
221495_s_at	0.29625338	TCF25	transcription factor 25
216640_s_at	-0.84616797	PDIA6	protein disulfide isomerase family A member 6
218958_at	0.378722	C19orf60	chromosome 19 open reading frame 60
218474_s_at	-0.47561707	KCTD5	potassium channel tetramerization domain containing 5
221953_s_at	0.53791768	MMP24-AS1	MMP24 antisense RNA 1
221190_s_at	0.31455453	C18orf8	chromosome 18 open reading frame 8
213187_x_at	0.7169526	FTL	ferritin light chain
211352_s_at	0.3047164	NCOA3	nuclear receptor coactivator 3
207385_at	0.34161849	TFDP3	transcription factor Dp family member 3
208891_at	0.45121142	DUSP6	dual specificity phosphatase 6
218197_s_at	0.70856424	OXR1	oxidation resistance 1
210316_at	0.39453828	FLT4	fms related tyrosine kinase 4
204889_s_at	0.35383431	NEURL1	neuralized E3 ubiquitin protein ligase 1
205724_at	0.43011241	PKP1	plakophilin 1
200771_at	0.49625476	LAMC1	laminin subunit gamma 1
219694_at	0.67992372	FAM105A	family with sequence similarity 105 member A
212766_s_at	-0.66584533	ISG20L2	interferon stimulated exonuclease gene 20 like 2
200782_at	0.44449021	ANXA5	annexin A5
208565_at	0.48909857	MC5R	melanocortin 5 receptor
208994_s_at	0.38690113	PPIG	peptidylprolyl isomerase G
1598_g_at	0.37019544	GAS6	growth arrest specific 6
219341_at	0.48036771	CLN8	ceroid-lipofuscinosis, neuronal 8
219304_s_at	0.41141887	PDGFD	platelet derived growth factor D
215337_at	0.60765857	MED24	mediator complex subunit 24
209840_s_at	0.52255078	LRRN3	leucine rich repeat neuronal 3
219212_at	-0.58147241	HSPA14	heat shock protein family A (Hsp70) member 14
214679_x_at	0.39597109	GNA11	G protein subunit alpha 11
207526_s_at	0.38682075	IL1RL1	interleukin 1 receptor like 1
213459_at	-0.44658034	RPL37A	ribosomal protein L37a
219436_s_at	0.48166418	EMCN	endomucin
221645_s_at	-0.81260297	ZNF83	zinc finger protein 83
214377_s_at	0.36166246	CTRL	chymotrypsin like
210108_at	-0.62620508	CACNA1D	calcium voltage-gated channel subunit alpha1 D
205222_at	0.678156	EHHADH	enoyl-CoA, hydratase/3-hydroxyacyl CoA dehydrogenase
215732_s_at	0.48189129	LOC102725292///DTX2	probable E3 ubiquitin-protein ligase DTX2-like///deltex E3 ubiquitin ligase 2
204392_at	0.68692324	CAMK1	calcium/calmodulin dependent protein kinase I
216402_at	0.48872717	SEC14L4	SEC14 like lipid binding 4
206798_x_at	0.39772001	DLEC1	deleted in lung and esophageal cancer 1
204668_at	0.42461801	RNF24	ring finger protein 24
208296_x_at	0.32326295	TNFAIP8	TNF alpha induced protein 8
205633_s_at	0.52134746	ALAS1	5'-aminolevulinate synthase 1
212239_at	0.41222831	PIK3R1	phosphoinositide-3-kinase regulatory subunit 1
203767_s_at	0.73404964	STS	steroid sulfatase (microsomal), isozyme S
221725_at	0.39777343	WASF2	WAS protein family member 2
216572_at	0.31915645	FOXL1	forkhead box L1
217512_at	0.49877111	KNG1	kininogen 1
32502_at	0.41152249	GDPD5	glycerophosphodiester phosphodiesterase domain containing 5
207996_s_at	-0.41593014	LDLRAD4	low density lipoprotein receptor class A domain containing 4
222191_s_at	0.3671632	B4GALT7	beta-1,4-galactosyltransferase 7
203120_at	-0.58585401	TP53BP2	tumor protein p53 binding protein 2
221001_at	0.31355376		
213955_at	0.40677583	MYOZ3	myozenin 3
208820_at	-0.61116464	PTK2	protein tyrosine kinase 2
201673_s_at	0.38401372	GYS1	glycogen synthase 1
203865_s_at	0.38585382	ADARB1	adenosine deaminase, RNA specific B1
205749_at	0.42997373	CYP1A1	cytochrome P450 family 1 subfamily A member 1
210406_s_at	-0.6734231	WTH3DI///RAB6C///RAB6A	RAB6C-like///RAB6C, member RAS oncogene family///RAB6A, member RAS oncogene family
215787_at	0.40347893	ACTA2	actin, alpha 2, smooth muscle, aorta
206801_at	0.58838545	NPPB	natriuretic peptide B
202765_s_at	0.41535574	FBN1	fibrillin 1
219419_at	0.61961702	RBFA	ribosome binding factor A (putative)
214919_s_at	0.43423976	ANKHD1-EIF4EBP3///ANKHD1///EIF4EBP3	ANKHD1-EIF4EBP3 readthrough///ankyrin repeat and KH domain containing 1///eukaryotic translation initiation factor 4E binding protein 3
220951_s_at	0.3256377	A1CF	APOBEC1 complementation factor
205812_s_at	-0.39764461	TMED9	transmembrane p24 trafficking protein 9
222150_s_at	-0.40262655	GSAP	gamma-secretase activating protein
214479_at	0.3769765	GFRA3	GDNF family receptor alpha 3
216904_at	0.47400224	COL6A1	collagen type VI alpha 1 chain
201118_at	0.48937301	PGD	phosphogluconate dehydrogenase
