ID	logFC	Gene.symbol	Gene.title
205478_at	321.467.939	PPP1R1A	protein phosphatase 1 regulatory inhibitor subunit 1A
219140_s_at	410.827.509	RBP4	retinol binding protein 4
266_s_at	-396.259.423	CD24	CD24 molecule
222317_at	377.298.061	PDE3B	phosphodiesterase 3B
201650_at	-474.241.108	KRT19	keratin 19
201839_s_at	-23.921.644	EPCAM	epithelial cell adhesion molecule
210964_s_at	230.772.501	GYG2	glycogenin 2
221009_s_at	214.139.985	ANGPTL4	angiopoietin like 4
219295_s_at	255.301.846	PCOLCE2	procollagen C-endopeptidase enhancer 2
43427_at	301.763.108	ACACB	acetyl-CoA carboxylase beta
202286_s_at	-265.559.898	TACSTD2	tumor-associated calcium signal transducer 2
205220_at	162.550.994	HCAR3	hydroxycarboxylic acid receptor 3
212741_at	270.914.504	MAOA	monoamine oxidase A
205610_at	166.852.499	MYOM1	myomesin 1
214456_x_at	347.344.892	SAA2///SAA1	serum amyloid A2///serum amyloid A1
202988_s_at	-234.231.226	RGS1	regulator of G-protein signaling 1
204388_s_at	203.442.884	MAOA	monoamine oxidase A
218087_s_at	312.302.957	SORBS1	sorbin and SH3 domain containing 1
210298_x_at	196.987.452	FHL1	four and a half LIM domains 1
209771_x_at	-184.986.327	CD24	CD24 molecule
219398_at	141.702.724	CIDEC	cell death inducing DFFA like effector c
218168_s_at	199.359.477	COQ8A	coenzyme Q8A
208510_s_at	199.448.095	PPARG	peroxisome proliferator activated receptor gamma
49452_at	213.395.799	ACACB	acetyl-CoA carboxylase beta
207092_at	304.434.559	LEP	leptin
205382_s_at	343.998.034	CFD	complement factor D
215695_s_at	242.769.807	GYG2	glycogenin 2
201286_at	-204.802.229	SDC1	syndecan 1
218237_s_at	-180.175.074	SLC38A1	solute carrier family 38 member 1
201131_s_at	-238.607.802	CDH1	cadherin 1
219737_s_at	176.678.567	PCDH9	protocadherin 9
219738_s_at	189.809.132	PCDH9	protocadherin 9
214414_x_at	202.472.998	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
203548_s_at	307.346.181	LPL	lipoprotein lipase
205913_at	251.232.261	PLIN1	perilipin 1
204997_at	233.810.965	GPD1	glycerol-3-phosphate dehydrogenase 1
221928_at	190.503.743	ACACB	acetyl-CoA carboxylase beta
206243_at	242.038.843	TIMP4	TIMP metallopeptidase inhibitor 4
209699_x_at	265.044.273	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
201596_x_at	-262.555.163	KRT18	keratin 18
203571_s_at	264.308.069	ADIRF	adipogenesis regulatory factor
209602_s_at	-290.688.278	GATA3	GATA binding protein 3
219064_at	158.240.893	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
213071_at	285.816.057	DPT	dermatopontin
207175_at	197.252.591	ADIPOQ	adiponectin, C1Q and collagen domain containing
216331_at	170.148.194	ITGA7	integrin subunit alpha 7
214063_s_at	264.776.647	TF	transferrin
210201_x_at	144.481.219	BIN1	bridging integrator 1
213068_at	247.270.352	DPT	dermatopontin
213693_s_at	-234.625.249	MUC1	mucin 1, cell surface associated
204570_at	239.471.663	COX7A1	cytochrome c oxidase subunit 7A1
209614_at	182.112.213	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
216379_x_at	-140.821.594	CD24	CD24 molecule
209686_at	157.991.763	S100B	S100 calcium binding protein B
209581_at	20.558.238	PLA2G16	phospholipase A2 group XVI
203980_at	192.471.592	FABP4	fatty acid binding protein 4
204151_x_at	179.983.365	AKR1C1	aldo-keto reductase family 1 member C1
204894_s_at	184.127.585	AOC3	amine oxidase, copper containing 3
203549_s_at	134.087.856	LPL	lipoprotein lipase
209493_at	153.579.192	PDZD2	PDZ domain containing 2
213524_s_at	15.082.987	G0S2	G0/G1 switch 2
202931_x_at	153.568.363	BIN1	bridging integrator 1
209183_s_at	202.396.982	C10orf10	chromosome 10 open reading frame 10
211653_x_at	25.669.831	LOC101930400///AKR1C2	aldo-keto reductase family 1 member C2-like///aldo-keto reductase family 1, member C2
204223_at	169.945.678	PRELP	proline and arginine rich end leucine rich repeat protein
209116_x_at	327.631.228	HBB	hemoglobin subunit beta
213706_at	222.402.914	GPD1	glycerol-3-phosphate dehydrogenase 1
205824_at	12.513.802	HSPB2	heat shock protein family B (small) member 2
204719_at	271.123.318	ABCA8	ATP binding cassette subfamily A member 8
214505_s_at	179.695.754	FHL1	four and a half LIM domains 1
208383_s_at	269.788.651	PCK1	phosphoenolpyruvate carboxykinase 1
209016_s_at	-289.709.615	KRT7	keratin 7
204159_at	201.141.662	CDKN2C	cyclin dependent kinase inhibitor 2C
220061_at	162.192.155	ACSM5	acyl-CoA synthetase medium-chain family member 5
211745_x_at	266.346.407	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
218723_s_at	141.766.891	RGCC	regulator of cell cycle
58780_s_at	184.844.709	ARHGEF40	Rho guanine nucleotide exchange factor 40
218736_s_at	189.370.465	PALMD	palmdelphin
212112_s_at	124.140.538	STX12	syntaxin 12
203065_s_at	218.509.797	CAV1	caveolin 1
216594_x_at	151.452.843	AKR1C1	aldo-keto reductase family 1 member C1
204134_at	125.392.209	PDE2A	phosphodiesterase 2A
221748_s_at	12.123.099	TNS1	tensin 1
211696_x_at	163.781.294	HBB	hemoglobin subunit beta
201348_at	143.566.545	GPX3	glutathione peroxidase 3
209160_at	269.993.553	AKR1C3	aldo-keto reductase family 1, member C3
203323_at	129.850.495	CAV2	caveolin 2
209555_s_at	242.823.655	CD36	CD36 molecule
202768_at	21.149.343	FOSB	FosB proto-oncogene, AP-1 transcription factor subunit
203853_s_at	104.509.605	GAB2	GRB2 associated binding protein 2
221747_at	133.366.216	TNS1	tensin 1
209612_s_at	196.858.444	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
217414_x_at	181.535.668	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209298_s_at	243.477.332	ITSN1	intersectin 1
222351_at	160.319.514	PPP2R1B	protein phosphatase 2 scaffold subunit Abeta
206488_s_at	167.507.721	CD36	CD36 molecule
209458_x_at	251.453.174	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
209496_at	217.977.175	RARRES2	retinoic acid receptor responder 2
212886_at	233.409.375	CCDC69	coiled-coil domain containing 69
218186_at	-189.628.456	RAB25	RAB25, member RAS oncogene family
205498_at	107.659.658	GHR	growth hormone receptor
201690_s_at	-123.200.625	TPD52	tumor protein D52
212281_s_at	-231.024.706	TMEM97	transmembrane protein 97
203917_at	-140.996.535	CXADR	coxsackie virus and adenovirus receptor
209512_at	148.457.284	HSDL2	hydroxysteroid dehydrogenase like 2
204042_at	100.376.394	WASF3	WAS protein family member 3
210715_s_at	-151.078.644	SPINT2	serine peptidase inhibitor, Kunitz type 2
200606_at	-0.97351016	DSP	desmoplakin
213005_s_at	0.97393689	KANK1	KN motif and ankyrin repeat domains 1
209616_s_at	161.166.714	LOC100653057///CES1	liver carboxylesterase 1-like///carboxylesterase 1
210078_s_at	126.575.668	KCNAB1	potassium voltage-gated channel subfamily A member regulatory beta subunit 1
216894_x_at	142.525.154	CDKN1C	cyclin dependent kinase inhibitor 1C
203812_at	104.519.799	SLIT3	slit guidance ligand 3
217232_x_at	177.930.617	HBB	hemoglobin subunit beta
206030_at	172.510.619	ASPA	aspartoacylase
203414_at	103.611.661	MMD	monocyte to macrophage differentiation associated
213348_at	10.332.384	CDKN1C	cyclin dependent kinase inhibitor 1C
33322_i_at	-0.8507603	SFN	stratifin
214439_x_at	129.089.786	BIN1	bridging integrator 1
209763_at	109.454.427	CHRDL1	chordin like 1
37117_at	-132.014.516	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
209613_s_at	228.969.032	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide
218124_at	112.650.629	RETSAT	retinol saturase
203435_s_at	0.97272553	MME	membrane metallo-endopeptidase
217028_at	-10.562.277	CXCR4	C-X-C motif chemokine receptor 4
212636_at	11.126.803	QKI	QKI, KH domain containing RNA binding
201243_s_at	-100.973.569	ATP1B1	ATPase Na+/K+ transporting subunit beta 1
201417_at	-200.172.627	SOX4	SRY-box 4
206068_s_at	154.393.137	ACADL	acyl-CoA dehydrogenase, long chain
213764_s_at	27.132.006	MFAP5	microfibrillar associated protein 5
202890_at	-184.666.667	MAP7	microtubule associated protein 7
201450_s_at	-123.134.247	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
209603_at	-183.917.181	GATA3	GATA binding protein 3
201540_at	108.954.127	FHL1	four and a half LIM domains 1
208650_s_at	-216.439.495	CD24	CD24 molecule
203215_s_at	-151.087.664	MYO6	myosin VI
213486_at	115.794.951	COPG2IT1	COPG2 imprinted transcript 1 (non-protein coding)
218677_at	-115.518.153	S100A14	S100 calcium binding protein A14
213247_at	105.187.201	SVEP1	sushi, von Willebrand factor type A, EGF and pentraxin domain containing 1
210517_s_at	146.467.784	AKAP12	A-kinase anchoring protein 12
200944_s_at	-0.79427411	LOC101927733///HMGN1	uncharacterized LOC101927733///high mobility group nucleosome binding domain 1
213933_at	146.153.398	PTGER3	prostaglandin E receptor 3
32837_at	0.79411814	AGPAT2	1-acylglycerol-3-phosphate O-acyltransferase 2
204731_at	163.360.978	TGFBR3	transforming growth factor beta receptor 3
206100_at	126.200.292	CPM	carboxypeptidase M
209210_s_at	121.524.358	FERMT2	fermitin family member 2
215379_x_at	-232.201.679	IGLV1-44	immunoglobulin lambda variable 1-44
204848_x_at	117.666.004	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
203324_s_at	179.517.548	CAV2	caveolin 2
205022_s_at	171.298.337	FOXN3	forkhead box N3
213451_x_at	138.687.813	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
210375_at	128.792.121	PTGER3	prostaglandin E receptor 3
216834_at	-156.135.242	RGS1	regulator of G-protein signaling 1
35776_at	0.89763785	ITSN1	intersectin 1
207275_s_at	11.864.591	ACSL1	acyl-CoA synthetase long-chain family member 1
206093_x_at	147.188.532	TNXB///TNXA	tenascin XB///tenascin XA (pseudogene)
214093_s_at	-123.547.861	FUBP1	far upstream element binding protein 1
202464_s_at	12.700.885	PFKFB3	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3
205968_at	-123.860.096	KCNS3	potassium voltage-gated channel modifier subfamily S member 3
209550_at	0.99314636	NDN	necdin, MAGE family member
219298_at	17.950.651	ECHDC3	enoyl-CoA hydratase domain containing 3
204825_at	-179.371.074	MELK	maternal embryonic leucine zipper kinase
204419_x_at	17.609.463	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
212071_s_at	114.960.986	SPTBN1	spectrin beta, non-erythrocytic 1
206201_s_at	234.394.406	MEOX2	mesenchyme homeobox 2
201539_s_at	135.162.535	FHL1	four and a half LIM domains 1
208651_x_at	-101.227.059	CD24	CD24 molecule
200844_s_at	0.92652922	PRDX6	peroxiredoxin 6
204653_at	-108.928.026	TFAP2A	transcription factor AP-2 alpha
208789_at	160.212.197	PTRF	polymerase I and transcript release factor
204326_x_at	113.512.281	MT1X	metallothionein 1X
203986_at	144.575.981	FAM47E-STBD1///FAM47E///STBD1	FAM47E-STBD1 readthrough///family with sequence similarity 47 member E///starch binding domain 1
65718_at	0.92625836	ADGRA2	adhesion G protein-coupled receptor A2
203400_s_at	168.378.724	TF	transferrin
218031_s_at	165.342.566	FOXN3	forkhead box N3
205303_at	0.93060152	KCNJ8	potassium voltage-gated channel subfamily J member 8
201432_at	0.88397513	CAT	catalase
212097_at	155.781.323	CAV1	caveolin 1
217047_s_at	0.87712682	FAM13A	family with sequence similarity 13 member A
221246_x_at	109.174.863	TNS1	tensin 1
201719_s_at	126.755.787	EPB41L2	erythrocyte membrane protein band 4.1 like 2
218625_at	11.456.059	NRN1	neuritin 1
205609_at	108.597.286	ANGPT1	angiopoietin 1
221295_at	116.877.203	CIDEA	cell death-inducing DFFA-like effector a
213364_s_at	113.206.075	SNX1	sorting nexin 1
212653_s_at	156.486.541	EHBP1	EH domain binding protein 1
211699_x_at	19.385.301	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
212845_at	0.84402888	SAMD4A	sterile alpha motif domain containing 4A
202912_at	0.98796448	ADM	adrenomedullin
212419_at	112.997.786	ZCCHC24	zinc finger CCHC-type containing 24
202489_s_at	-137.208.411	FXYD3	FXYD domain containing ion transport regulator 3
201890_at	-147.364.143	RRM2	ribonucleotide reductase regulatory subunit M2
203337_x_at	165.617.564	ITGB1BP1	integrin subunit beta 1 binding protein 1
203397_s_at	-154.466.092	GALNT3	polypeptide N-acetylgalactosaminyltransferase 3
218175_at	136.431.453	CCDC92	coiled-coil domain containing 92
219689_at	0.68601024	SEMA3G	semaphorin 3G
203851_at	135.870.219	IGFBP6	insulin like growth factor binding protein 6
219563_at	0.98608816	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341
201242_s_at	-120.637.536	ATP1B1	ATPase Na+/K+ transporting subunit beta 1
219935_at	0.92750794	ADAMTS5	ADAM metallopeptidase with thrombospondin type 1 motif 5
203358_s_at	-125.790.499	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit
209513_s_at	150.526.669	HSDL2	hydroxysteroid dehydrogenase like 2
212282_at	-136.052.769	TMEM97	transmembrane protein 97
205709_s_at	-120.325.779	CDS1	CDP-diacylglycerol synthase 1
208607_s_at	219.262.109	SAA2-SAA4///SAA2///SAA1	SAA2-SAA4 readthrough///serum amyloid A2///serum amyloid A1
201952_at	-11.841.597	ALCAM	activated leukocyte cell adhesion molecule
1007_s_at	-0.69767703	MIR4640///DDR1	microRNA 4640///discoidin domain receptor tyrosine kinase 1
222161_at	143.564.738	NAALAD2	N-acetylated alpha-linked acidic dipeptidase 2
210869_s_at	136.221.431	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
200878_at	16.177.024	EPAS1	endothelial PAS domain protein 1
213605_s_at	-166.473.617		
204018_x_at	175.293.218	HBA2///HBA1	hemoglobin subunit alpha 2///hemoglobin subunit alpha 1
219093_at	150.434.145	PID1	phosphotyrosine interaction domain containing 1
201842_s_at	102.231.498	EFEMP1	EGF containing fibulin like extracellular matrix protein 1
214677_x_at	-225.092.443	IGLC1	immunoglobulin lambda constant 1
202202_s_at	0.97902931	LAMA4	laminin subunit alpha 4
210299_s_at	174.250.178	FHL1	four and a half LIM domains 1
202193_at	-132.098.801	LIMK2	LIM domain kinase 2
204271_s_at	0.96280934	EDNRB	endothelin receptor type B
213236_at	121.865.945	SASH1	SAM and SH3 domain containing 1
218499_at	-0.83714016	STK26	serine/threonine protein kinase 26
209173_at	-25.541.702	AGR2	anterior gradient 2, protein disulphide isomerase family member
202071_at	-0.90787805	SDC4	syndecan 4
210762_s_at	104.621.967	DLC1	DLC1 Rho GTPase activating protein
213397_x_at	106.997.345	RNASE4	ribonuclease A family member 4
214705_at	-17.898.218	PATJ	PATJ, crumbs cell polarity complex component
221131_at	0.91695538	A4GNT	alpha-1,4-N-acetylglucosaminyltransferase
213765_at	141.400.226	MFAP5	microfibrillar associated protein 5
200973_s_at	157.985.738	TSPAN3	tetraspanin 3
210740_s_at	123.734.275	ITPK1	inositol-tetrakisphosphate 1-kinase
209087_x_at	0.72797712	MCAM	melanoma cell adhesion molecule
201448_at	-161.362.385	TIA1	TIA1 cytotoxic granule-associated RNA binding protein
213309_at	117.864.019	PLCL2	phospholipase C like 2
201005_at	-223.739.737	CD9	CD9 molecule
203680_at	15.639.556	PRKAR2B	protein kinase cAMP-dependent type II regulatory subunit beta
204537_s_at	0.84421763	MIR452///MIR224///GABRE	microRNA 452///microRNA 224///gamma-aminobutyric acid type A receptor epsilon subunit
202982_s_at	188.760.397	ACOT1///ACOT2	acyl-CoA thioesterase 1///acyl-CoA thioesterase 2
203881_s_at	115.047.252	DMD	dystrophin
206385_s_at	-131.095.162	ANK3	ankyrin 3, node of Ranvier (ankyrin G)
210832_x_at	120.690.733	PTGER3	prostaglandin E receptor 3
202942_at	166.651.741	ETFB	electron transfer flavoprotein beta subunit
218502_s_at	-0.82434061	TRPS1	transcriptional repressor GATA binding 1
215039_at	125.939.696	LINC01140	long intergenic non-protein coding RNA 1140
201664_at	-139.288.811	SMC4	structural maintenance of chromosomes 4
211922_s_at	149.872.322	CAT	catalase
213793_s_at	-143.226.784	HOMER1	homer scaffolding protein 1
201785_at	0.96180954	RNASE1	ribonuclease A family member 1, pancreatic
203476_at	-0.8293803	TPBG	trophoblast glycoprotein
212122_at	142.757.747	RHOQ	ras homolog family member Q
206101_at	0.95042409	ECM2	extracellular matrix protein 2
209604_s_at	-120.877.617	GATA3	GATA binding protein 3
200671_s_at	0.63616759	SPTBN1	spectrin beta, non-erythrocytic 1
211458_s_at	175.552.743	GABARAPL3///GABARAPL1	GABA type A receptor associated protein like 3 pseudogene///GABA type A receptor associated protein like 1
203296_s_at	137.269.168	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2
203336_s_at	137.454.163	ITGB1BP1	integrin subunit beta 1 binding protein 1
212134_at	0.76534193	MIR6716///PHLDB1	microRNA 6716///pleckstrin homology like domain family B member 1
203814_s_at	0.966817	NQO2	NAD(P)H quinone dehydrogenase 2
201325_s_at	136.509.281	EMP1	epithelial membrane protein 1
208029_s_at	-145.754.896	LAPTM4B	lysosomal protein transmembrane 4 beta
209485_s_at	0.99506699	OSBPL1A	oxysterol binding protein like 1A
211726_s_at	0.62359311	FMO2	flavin containing monooxygenase 2
212230_at	116.693.487	PLPP3	phospholipid phosphatase 3
205208_at	151.705.926	ALDH1L1	aldehyde dehydrogenase 1 family member L1
218009_s_at	-162.921.955	PRC1	protein regulator of cytokinesis 1
207071_s_at	0.82806634	ACO1	aconitase 1
45297_at	0.9466644	EHD2	EH domain containing 2
202309_at	0.70636793	MTHFD1	methylenetetrahydrofolate dehydrogenase, cyclohydrolase and formyltetrahydrofolate synthetase 1
213502_x_at	-178.108.112	GUSBP11	glucuronidase, beta pseudogene 11
220327_at	111.447.318	VGLL3	vestigial like family member 3
37892_at	-198.587.285	COL11A1	collagen type XI alpha 1 chain
202782_s_at	0.81806442	INPP5K	inositol polyphosphate-5-phosphatase K
209894_at	135.705.159	LEPROT///LEPR	leptin receptor overlapping transcript///leptin receptor
209086_x_at	104.642.917	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
204363_at	0.9493741	F3	coagulation factor III, tissue factor
202862_at	102.776.722	FAH	fumarylacetoacetate hydrolase
217794_at	-129.692.669	PRR13	proline rich 13
200895_s_at	-10.947.223	FKBP4	FK506 binding protein 4
214212_x_at	136.520.181	FERMT2	fermitin family member 2
201465_s_at	16.176.936	JUN	Jun proto-oncogene, AP-1 transcription factor subunit
222043_at	111.817.698	CLU	clusterin
219054_at	111.382.544	NPR3	natriuretic peptide receptor 3
209138_x_at	-153.484.515	IGLC1	immunoglobulin lambda constant 1
201963_at	189.213.559	ACSL1	acyl-CoA synthetase long-chain family member 1
221024_s_at	-149.527.311	SLC2A10	solute carrier family 2 member 10
210046_s_at	-11.878.438	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial
211026_s_at	0.73733909	MGLL	monoglyceride lipase
213518_at	-120.259.426	PRKCI	protein kinase C iota
213226_at	-0.80793403	CCNA2	cyclin A2
213221_s_at	108.007.268	SIK2	salt inducible kinase 2
208186_s_at	0.80054	LIPE	lipase E, hormone sensitive type
39248_at	-124.365.423	AQP3	aquaporin 3 (Gill blood group)
204389_at	0.96259526	MAOA	monoamine oxidase A
212875_s_at	112.394.647	C2CD2	C2 calcium dependent domain containing 2
205932_s_at	110.551.248	MSX1	msh homeobox 1
202990_at	0.90274207	PYGL	phosphorylase, glycogen, liver
209008_x_at	-0.98567381	KRT8	keratin 8
219937_at	0.98855692	TRHDE	thyrotropin releasing hormone degrading enzyme
202712_s_at	-0.76684941	CKMT1A///CKMT1B	creatine kinase, mitochondrial 1A///creatine kinase, mitochondrial 1B
202976_s_at	0.85832237	RHOBTB3	Rho related BTB domain containing 3
210946_at	0.77007738	PLPP1	phospholipid phosphatase 1
218665_at	0.64604587	FZD4	frizzled class receptor 4
218711_s_at	0.91368029	SDPR	serum deprivation response
203693_s_at	-106.443.842	E2F3	E2F transcription factor 3
205559_s_at	15.853.481	PCSK5	proprotein convertase subtilisin/kexin type 5
200911_s_at	0.85667262	TACC1	transforming acidic coiled-coil containing protein 1
202724_s_at	127.501.633	FOXO1	forkhead box O1
219117_s_at	-16.150.132	FKBP11	FK506 binding protein 11
203642_s_at	0.68461896	COBLL1	cordon-bleu WH2 repeat protein like 1
201885_s_at	0.77147887	CYB5R3	cytochrome b5 reductase 3
203124_s_at	-118.950.786	SLC11A2	solute carrier family 11 member 2
202157_s_at	0.89499709	CELF2	CUGBP, Elav-like family member 2
200696_s_at	0.99530314	GSN	gelsolin
202088_at	-0.94037485	SLC39A6	solute carrier family 39 member 6
208737_at	-106.150.262	ATP6V1G1	ATPase H+ transporting V1 subunit G1
202760_s_at	0.91589612	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
212013_at	121.745.679	PXDN	peroxidasin
201363_s_at	-116.871.305	IVNS1ABP	influenza virus NS1A binding protein
221031_s_at	0.99029175	APOLD1	apolipoprotein L domain containing 1
209540_at	15.380.584	IGF1	insulin like growth factor 1
205200_at	127.885.223	EXOSC7///CLEC3B	exosome component 7///C-type lectin domain family 3 member B
203038_at	-0.65233817	PTPRK	protein tyrosine phosphatase, receptor type K
209539_at	0.83113023	ARHGEF6	Rac/Cdc42 guanine nucleotide exchange factor 6
220065_at	10.009.816	TNMD	tenomodulin
201324_at	10.171.202	EMP1	epithelial membrane protein 1
202112_at	146.431.398	VWF	von Willebrand factor
202973_x_at	0.92985334	FAM13A	family with sequence similarity 13 member A
218189_s_at	-115.506.949	NANS	N-acetylneuraminate synthase
204642_at	114.008.443	S1PR1	sphingosine-1-phosphate receptor 1
212219_at	-126.851.048	PSME4	proteasome activator subunit 4
207057_at	0.86277749	SLC16A7	solute carrier family 16 member 7
213150_at	137.363.718	HOXA10	homeobox A10
218651_s_at	0.63437488	LARP6	La ribonucleoprotein domain family member 6
221841_s_at	152.322.005	KLF4	Kruppel like factor 4
201036_s_at	0.88453409	HADH	hydroxyacyl-CoA dehydrogenase
202963_at	-102.266.432	RFX5	regulatory factor X5
205005_s_at	0.73292085	NMT2	N-myristoyltransferase 2
205608_s_at	0.64348987	ANGPT1	angiopoietin 1
207302_at	106.179.517	SGCG	sarcoglycan gamma
201425_at	1.129.293	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)
219454_at	0.82608339	EGFL6	EGF like domain multiple 6
207160_at	0.98300456	IL12A	interleukin 12A
204276_at	109.094.216	TK2	thymidine kinase 2, mitochondrial
213001_at	0.6612033	ANGPTL2	angiopoietin like 2
209605_at	116.119.363	TST	thiosulfate sulfurtransferase
204677_at	110.750.182	CDH5	cadherin 5
204154_at	0.78378106	CDO1	cysteine dioxygenase type 1
217781_s_at	0.95838907	ZNF106	zinc finger protein 106
209185_s_at	0.75691197	IRS2	insulin receptor substrate 2
202796_at	107.313.812	SYNPO	synaptopodin
201202_at	-107.373.328	PCNA	proliferating cell nuclear antigen
211946_s_at	-0.93678715	PRRC2C	proline rich coiled-coil 2C
218123_at	-0.97341225	C21orf59	chromosome 21 open reading frame 59
219534_x_at	11.675.173	CDKN1C	cyclin dependent kinase inhibitor 1C
209355_s_at	0.71879928	PLPP3	phospholipid phosphatase 3
204059_s_at	0.84241808	ME1	malic enzyme 1
205619_s_at	0.98311434	MEOX1	mesenchyme homeobox 1
202003_s_at	127.277.041	ACAA2	acetyl-CoA acyltransferase 2
216868_s_at	120.806.178		
209803_s_at	-121.825.478	PHLDA2	pleckstrin homology like domain family A member 2
203516_at	0.70259806	SNTA1	syntrophin alpha 1
201843_s_at	0.80041869	EFEMP1	EGF containing fibulin like extracellular matrix protein 1
209049_s_at	-0.99670471	ZMYND8	zinc finger MYND-type containing 8
219209_at	-109.499.942	IFIH1	interferon induced with helicase C domain 1
203769_s_at	114.067.822	STS	steroid sulfatase (microsomal), isozyme S
202345_s_at	20.273.215	FABP5	fatty acid binding protein 5
217714_x_at	-0.73783526	MIR3917///STMN1	microRNA 3917///stathmin 1
201340_s_at	-120.068.135	ENC1	ectodermal-neural cortex 1
217771_at	-117.475.358	GOLM1	golgi membrane protein 1
218656_s_at	0.8023181	LHFP	lipoma HMGIC fusion partner
219288_at	-0.97126621	C3orf14	chromosome 3 open reading frame 14
203002_at	0.68862872	AMOTL2	angiomotin like 2
202283_at	149.973.007	SERPINF1	serpin family F member 1
221885_at	0.82466127	DENND2A	DENN domain containing 2A
201689_s_at	-122.815.145	TPD52	tumor protein D52
202723_s_at	0.98128943	FOXO1	forkhead box O1
212036_s_at	-114.649.297	PNN	pinin, desmosome associated protein
204039_at	113.286.239	CEBPA	CCAAT/enhancer binding protein alpha
202014_at	0.6917868	PPP1R15A	protein phosphatase 1 regulatory subunit 15A
202935_s_at	-0.87077612	SOX9	SRY-box 9
214297_at	106.181.035	CSPG4	chondroitin sulfate proteoglycan 4
201761_at	-11.264.284	MTHFD2	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase
202800_at	111.255.789	SLC1A3	solute carrier family 1 member 3
210145_at	135.173.755	PLA2G4A	phospholipase A2 group IVA
213913_s_at	-112.840.935	TBC1D30	TBC1 domain family member 30
204421_s_at	0.74374321	FGF2	fibroblast growth factor 2
220948_s_at	-0.88651165	ATP1A1	ATPase Na+/K+ transporting subunit alpha 1
210751_s_at	0.7318783	RGN	regucalcin
213808_at	0.96818899	ADAM23	ADAM metallopeptidase domain 23
215946_x_at	-100.169.424	IGLL3P	immunoglobulin lambda like polypeptide 3, pseudogene
201479_at	-0.73696111	MIR664B///SNORA56///DKC1	microRNA 664b///small nucleolar RNA, H/ACA box 56///dyskerin pseudouridine synthase 1
215306_at	0.79339435		
209360_s_at	-126.290.717	LOC101928269///LOC100506403///RUNX1	uncharacterized LOC101928269///uncharacterized LOC100506403///runt related transcription factor 1
215241_at	0.82290515	ANO3	anoctamin 3
213515_x_at	122.148.344	HBG2///HBG1	hemoglobin subunit gamma 2///hemoglobin subunit gamma 1
218934_s_at	0.816416	HSPB7	heat shock protein family B (small) member 7
206363_at	0.81839858	MAF	MAF bZIP transcription factor
206742_at	0.61609822	PIR-FIGF///FIGF	PIR-FIGF readthrough///c-fos induced growth factor
211981_at	0.59518604	COL4A1	collagen type IV alpha 1 chain
220736_at	0.74046035	SLC19A3	solute carrier family 19 member 3
218032_at	0.58429927	SNN	stannin
200770_s_at	0.8913828	LAMC1	laminin subunit gamma 1
213800_at	11.749.495	CFH	complement factor H
212119_at	0.90950265	RHOQ	ras homolog family member Q
206496_at	0.79329023	FMO3	flavin containing monooxygenase 3
207076_s_at	0.90866321	ASS1	argininosuccinate synthase 1
209542_x_at	149.458.896	IGF1	insulin like growth factor 1
203799_at	108.941.867	LY75-CD302///CD302///LY75	LY75-CD302 readthrough///CD302 molecule///lymphocyte antigen 75
222116_s_at	0.99663843	TBC1D16	TBC1 domain family member 16
213010_at	0.97932862	PRKCDBP	protein kinase C delta binding protein
202189_x_at	-135.740.994	MIR4745///PTBP1	microRNA 4745///polypyrimidine tract binding protein 1
202018_s_at	-177.767.684	LTF	lactotransferrin
208794_s_at	-117.973.769	SMARCA4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
